Team,PA,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA
"LAA",5977,3935,88.30886193501784,119.074,13.702632857459498,333,0.08462516,1401,0.35603558,0.23326572,,0.390189931,,0.30012070078031045,
"BAL",6049,4100,88.66858524409638,112.005,15.474645170096755,332,0.08097561,1590,0.38780488,0.235955056,,0.390311291,,0.30524886833475073,
"BOS",6144,4230,89.28763308897135,117.862,11.438899481813852,343,0.08108747,1724,0.40756501,0.25762773,,0.409460191,,0.31860236679842024,
"CHW",6123,4393,89.22284282832837,117.823,10.62857590388769,329,0.07489187,1783,0.40587298,0.255747638,,0.387096774,,0.30635316171932314,
"CLE",6163,4510,87.24648393070905,115.807,11.669687186794178,220,0.04878049,1489,0.33015521,0.253688377,,0.382511694,,0.3056406451384617,
"DET",5870,4019,87.58760091197145,112.148,11.805237200758619,251,0.06245335,1456,0.36227917,0.230568984,,0.345667534,,0.27901077339768166,
"KCR",6010,4215,88.7641403029027,113.711,12.898761550767311,302,0.07164887,1582,0.37532622,0.24406842,,0.379621114,,0.30156207277957353,
"MIN",6113,4180,89.5531863550393,115.084,13.122011329936544,365,0.08732057,1714,0.41004785,0.247626004,,0.400840029,,0.3149458462920727,
"NYY",6172,4091,89.70596527628379,119.838,13.336506002644574,411,0.10046443,1705,0.41676852,0.241239395,,0.426226484,,0.3271561705912175,
"OAK",5863,3982,87.65911553158222,113.972,11.740211491688306,252,0.06328478,1357,0.34078353,0.215844937,,0.345690628,,0.2773049146407099,
"SEA",6117,4035,88.22432937354237,117.197,15.01565251687078,327,0.08104089,1474,0.36530359,0.229953488,,0.389581395,,0.3103639398568093,
"TBR",6008,4056,88.91209125898749,115.027,11.361844746101795,247,0.06089744,1557,0.38387574,0.2390983,,0.377124907,,0.3022049437963805,
"TEX",6029,4080,89.14996022086831,112.975,13.987641765439166,323,0.07916667,1601,0.39240196,0.238773274,,0.39539978,,0.3046314408244518,
"TOR",6158,4361,90.18417549839727,118.382,11.191798357473933,368,0.08438432,1920,0.44026599,0.263546354,,0.431143114,,0.3313472821020185,
"ARI",6027,4095,88.0908814700325,114.989,12.432363942470555,268,0.06544567,1458,0.35604396,0.230237338,,0.385161652,,0.30276103470787313,
"ATL",6082,4048,89.9062775385895,116.775,13.488558358343298,441,0.10894269,1756,0.43379447,0.253040479,,0.443456162,,0.33017858544618733,
"CHC",6072,4033,88.37993483814766,116.24,10.445221297042831,269,0.06669973,1494,0.37044384,0.238341013,,0.386543778,,0.30694488518438723,
"CIN",5978,4004,87.21252353808059,113.582,12.924963841514714,233,0.05819181,1381,0.34490509,0.234944237,,0.372304832,,0.2987120269707443,
"COL",6105,4261,87.62686958032162,115.483,9.916196620942067,252,0.05914105,1563,0.3668153,0.254151624,,0.397653429,,0.31240514846595785,
"MIA",5949,4014,88.15904120057073,117.647,10.913370068708257,282,0.07025411,1486,0.37020429,0.230027803,,0.363484708,,0.2904279939723525,
"HOU",6054,4287,88.69301388685503,117.447,14.182928434188385,346,0.08070912,1666,0.38861675,0.247920133,,0.423923091,,0.3239584056825421,
"LAD",6247,4210,89.50407917868489,112.477,15.81826380602686,389,0.09239905,1760,0.41805226,0.256605139,,0.441730003,,0.33656048353078666,
"MIL",6122,4001,89.01520631821901,117.219,13.492470352159392,349,0.08722819,1586,0.3964009,0.234631714,,0.408528705,,0.3168525391607507,
"WSN",5998,4275,87.47546356055155,115.01,10.312121452111061,251,0.05871345,1510,0.35321637,0.248619801,,0.377438351,,0.3027269239494453,
"NYM",6176,4337,88.22520173522821,116.542,11.90761452602945,308,0.07101683,1604,0.3698409,0.259063581,,0.411914738,,0.32574238287099616,
"PHI",6077,4184,89.30386941487728,114.765,13.027559447253942,357,0.08532505,1714,0.40965583,0.253275109,,0.422125181,,0.3216073669351693,
"PIT",5912,3885,88.27981194399065,122.377,11.646589163985906,256,0.06589447,1442,0.37117117,0.222472331,,0.363721628,,0.2887104355289247,
"STL",6165,4322,88.15419517817432,114.446,14.314336471186719,325,0.07519667,1611,0.3727441,0.252183406,,0.420123726,,0.3259408037042315,
"SDP",6175,4209,88.37383604983302,115.202,13.22363059347504,274,0.0650986,1579,0.37514849,0.240855888,,0.381675201,,0.30807694356580373,
"SFG",6117,3989,88.23343838796058,114.279,15.31176407727681,326,0.08172474,1497,0.37528203,0.233864985,,0.389651335,,0.31051788218435505,
